iter	Logloss
0	0.6439822874
1	0.5991809241
2	0.567224169
3	0.5375782515
4	0.5139158344
5	0.4981639316
6	0.4839955409
7	0.4729653936
8	0.4615032955
9	0.4520990868
10	0.4452914337
11	0.4390210258
12	0.432969752
13	0.429472933
14	0.4250105994
15	0.4210420683
16	0.4169056493
17	0.4123570977
18	0.4097812493
19	0.407247104
20	0.4039997208
21	0.4015072455
22	0.3990207838
23	0.3968623102
24	0.3947016962
25	0.3923942728
26	0.3906287632
27	0.3887506486
28	0.3873172808
29	0.384928459
30	0.3830464834
31	0.381489738
32	0.3801928391
33	0.3788864944
34	0.3770409455
35	0.3757361848
36	0.3743395597
37	0.372937883
38	0.3712003728
39	0.3702000731
40	0.3693654566
41	0.3683374682
42	0.3666292384
43	0.3650543152
44	0.3640850334
45	0.3630868713
46	0.3618251968
47	0.3605243606
48	0.3598926642
49	0.3586276301
50	0.3575517651
51	0.3565354442
52	0.3553229067
53	0.3541725676
54	0.3531644078
55	0.3522718763
56	0.3514403019
57	0.3507491858
58	0.350073143
59	0.3493116488
60	0.3484273036
61	0.347679634
62	0.3467247932
63	0.3460062901
64	0.3452113824
65	0.3444523299
66	0.3435012836
67	0.3428831614
68	0.3422967064
69	0.3415250097
70	0.3409875345
71	0.3403598917
72	0.3394232763
73	0.3383544466
74	0.3378009563
75	0.3370915335
76	0.3365247164
77	0.3357639501
78	0.3352373384
79	0.3347312086
80	0.3339404353
81	0.3331860067
82	0.3326915575
83	0.3321817242
84	0.3313174807
85	0.3309674054
86	0.3305159746
87	0.3301495406
88	0.3296412542
89	0.3292219256
90	0.328849018
91	0.3282649872
92	0.3278722747
93	0.3271813574
94	0.3266504774
95	0.3262665714
96	0.3258728899
97	0.3253486377
98	0.3247709176
99	0.324128845
100	0.3235559915
101	0.3231381003
102	0.322739865
103	0.3223289262
104	0.3215690183
105	0.3210362034
106	0.3205845098
107	0.3201646885
108	0.3197835056
109	0.3192143841
110	0.31883783
111	0.3182702478
112	0.3177680563
113	0.3171652829
114	0.3164895614
115	0.316190696
116	0.3155715451
117	0.3148903209
118	0.3145406181
119	0.3138615309
120	0.3132417097
121	0.3127133821
122	0.3120382237
123	0.3116714038
124	0.3112240498
125	0.3107414548
126	0.3103676578
127	0.3099749022
128	0.3095356371
129	0.3093709701
130	0.3087850004
131	0.308207374
132	0.3077265535
133	0.3072607897
134	0.306755679
135	0.3062140227
136	0.305846203
137	0.3053437832
138	0.3048845837
139	0.3044382947
140	0.3041158403
141	0.3036431685
142	0.3033359142
143	0.3027932796
144	0.3023020709
145	0.3018833682
146	0.3015355829
147	0.3011972116
148	0.3008679892
149	0.3003740643
150	0.2999660773
151	0.2994605066
152	0.298957898
153	0.2986817161
154	0.2984739136
155	0.2980195415
156	0.2975508054
157	0.2970359904
158	0.2966758102
159	0.2963693757
160	0.2959579137
161	0.2955829274
162	0.295198573
163	0.2947924569
164	0.2941930107
165	0.2938573747
166	0.2933981634
167	0.2928083524
168	0.2925147981
169	0.2921273166
170	0.2916767696
171	0.2912605376
172	0.2909797941
173	0.2905566137
174	0.2900126698
175	0.2896145397
176	0.289240742
177	0.2890107379
178	0.2886335248
179	0.2881766466
180	0.2878138755
181	0.2874608979
182	0.2871759787
183	0.2868092847
184	0.2864455993
185	0.2860509945
186	0.2857357779
187	0.2854746933
188	0.2852090754
189	0.2849358985
190	0.28454373
191	0.2841367016
192	0.2837115415
193	0.2834546428
194	0.2831125821
195	0.2827742199
196	0.2824888623
197	0.2821127137
198	0.2817137812
199	0.2811354723
408557
12149998
